domain,total_score_a,total_score_b
1,38,60
2,70,80
3,58,80
4,35,80
5,72,80
6,56,60
7,18,60
8,68,60
9,63,60
10,15,80
11,80,80
12,15,80
13,40,80
14,50,60
15,68,60
16,63,60
17,43,60
18,25,60
19,25,60
20,13,60
21,63,80
22,38,60
23,40,60
24,25,60
25,58,40
26,15,20
27,48,80
28,65,60
29,23,80
30,50,60
31,30,60
32,38,60
33,48,80
34,38,80
35,38,60
36,38,60
37,40,80
38,35,100
39,15,60
40,38,80
41,63,60
42,25,60
43,48,80
44,63,60
45,15,60
46,38,60
47,48,60
48,28,20
49,48,80
50,57,80
51,33,60
52,15,60
53,15,80
54,25,20
55,23,60
56,38,60
57,50,80
58,15,60
59,23,60
60,33,60
61,15,60
62,38,60
63,41,60
64,38,60
65,15,60
66,38,60
67,38,60
68,38,80
69,38,60
70,23,80
71,48,60
72,25,80
73,48,60
74,58,60
75,58,60
76,33,80
77,15,80
78,41,60
79,58,60
80,15,80
81,40,60
82,40,40
83,41,80
84,15,80
85,45,80
86,58,60
87,63,60
88,25,60
89,40,20
90,20,60
91,58,80
92,43,60
93,46,60
94,25,80
95,23,60
96,75,60
97,48,60
98,25,60
99,25,60
100,11,60
